Device,DeviceDatetime,ActualHumidity,ActualTemp,Controller,DeviceTimestamp,DeviceType,Division
AC233FA3D9EC,2025-02-26 00:00:02+09:00,33.76953125,18.83984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:00:03+09:00,37.20703125,17.44921875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:00:31+09:00,45.46,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:00:31+09:00,43.01,14.44,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:00:32+09:00,39.58,13.48,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:00:34+09:00,33.43,20.74,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:00:35+09:00,33.96,18.46,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:00:37+09:00,33.4,18.28,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:00:40+09:00,43.61,13.63,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:00:40+09:00,43.69,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:03:02+09:00,33.7578125,18.828125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:03:03+09:00,37.19921875,17.4375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:03:31+09:00,45.42,14.34,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:03:31+09:00,42.92,14.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:03:32+09:00,39.55,13.49,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:03:34+09:00,33.41,20.65,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:03:35+09:00,33.98,18.48,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:03:37+09:00,33.27,18.27,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:03:40+09:00,43.5,13.61,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:03:40+09:00,43.57,14.25,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:06:02+09:00,33.76953125,18.81640625,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:06:03+09:00,37.20703125,17.45703125,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:06:31+09:00,45.42,14.35,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:06:31+09:00,43.02,14.42,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:06:32+09:00,39.56,13.46,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:06:33+09:00,33.55,20.67,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:06:35+09:00,34,18.52,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:06:37+09:00,33.38,18.26,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:06:40+09:00,43.52,13.64,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:06:40+09:00,43.59,14.28,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:09:02+09:00,33.7890625,18.80859375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:09:03+09:00,37.1796875,17.41796875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:09:31+09:00,45.5,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:09:31+09:00,42.89,14.41,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:09:32+09:00,39.57,13.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:09:34+09:00,33.54,20.61,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:09:35+09:00,33.95,18.46,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:09:37+09:00,33.25,18.24,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:09:40+09:00,43.52,13.62,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:09:40+09:00,43.61,14.29,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D95B,2025-02-26 00:12:03+09:00,37.1875,17.41796875,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:12:31+09:00,45.45,14.34,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:12:31+09:00,42.97,14.45,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:12:32+09:00,39.57,13.45,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:12:34+09:00,33.49,20.55,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:12:35+09:00,33.98,18.47,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:12:37+09:00,33.26,18.25,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:12:40+09:00,43.5,13.58,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:12:40+09:00,43.56,14.27,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:15:03+09:00,33.77734375,18.7890625,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:15:03+09:00,37.16796875,17.40625,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:15:31+09:00,45.43,14.32,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:15:31+09:00,43,14.36,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B00064D,2025-02-26 00:15:32+09:00,39.62,13.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
E3B1ED,2025-02-26 00:15:34+09:00,33.54,20.54,Mutsu01,1.7405E+12,Temp,MUTS-Rest
F5A6CD,2025-02-26 00:15:35+09:00,34,18.46,Mutsu01,1.7405E+12,Temp,MUTS-Dining
C6799D,2025-02-26 00:15:37+09:00,33.39,18.26,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0005DF,2025-02-26 00:15:39+09:00,43.55,13.61,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0006A7,2025-02-26 00:15:40+09:00,43.62,14.26,Mutsu01,1.7405E+12,Temp,MUTS-Flower
AC233FA3D9EC,2025-02-26 00:18:03+09:00,33.77734375,18.7890625,Mutsu01,1.7405E+12,Temp,MUTS-Dining
AC233FA3D95B,2025-02-26 00:18:04+09:00,37.1796875,17.3984375,Mutsu01,1.7405E+12,Temp,MUTS-Dining
00246B0006B1,2025-02-26 00:18:31+09:00,45.5,14.34,Mutsu01,1.7405E+12,Temp,MUTS-Flower
00246B0005E9,2025-02-26 00:18:31+09:00,42.97,14.43,Mutsu01,1.7405E+12,Temp,MUTS-Flower
